SMILES,ionicSMILES,Modifier,Behaviour Type,Positive?,1500,2000,2500,3000,3250,3500,3750,4000
[nH]1c2ccccc2nc1c3cscn3,[nH]1c2ccccc2[nH+]c1c3cscn3,0,2,0,0.06,-0.04,0,0.6,1.23,2.07,3.28,4.86
[nH]1c2ccccc2nc1c3cscn3,[nH]1c2ccccc2[nH+]c1c3cscn3,1,0,0,-4.37,-7.95,-14.73,-21.51,-24.94,-28.2,-30.38,-31.68
[nH]1c2ccccc2nc1c3occc3,[nH]1c2ccccc2[nH+]c1c3occc3,0,2,0,0.29,0.25,-0.02,0.32,0.99,1.9,3.12,4.76
[nH]1c2ccccc2nc1c3occc3,[nH]1c2ccccc2[nH+]c1c3occc3,1,0,0,-5.25,-9.42,-17.21,-25,-28.54,-32.12,-35.33,-36.29
[O-][N+](=O)c1ccc(NC(=O)Nc2ccccn2)cc1,[O-][N+](=O)c1ccc(NC(=O)Nc2cccc[nH+]2)cc1,0,2,0,0.7,1.3,2.3,3.8,4.75,5.9,7.32,9.1
[O-][N+](=O)c1ccc(NC(=O)Nc2ccccn2)cc1,[O-][N+](=O)c1ccc(NC(=O)Nc2cccc[nH+]2)cc1,1,1,0,-1.7,-4,-6.2,-7.3,-7.2,-7.3,-6.2,-4.8
[O-][N+](=O)c1ccc(NC(=O)Nc2ccncc2)cc1,[O-][N+](=O)c1ccc(NC(=O)Nc2cc[nH+]cc2)cc1,0,2,0,1,1.3,2.3,3.7,4.64,5.8,7.21,8.9
[O-][N+](=O)c1ccc(NC(=O)Nc2ccncc2)cc1,[O-][N+](=O)c1ccc(NC(=O)Nc2cc[nH+]cc2)cc1,1,1,0,-1.9,-4.9,-8,-10.2,-10.3,-10.4,-9.9,-9.3
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,[O-][N+](=O)c1ccc2NC(=[OH+])CN=C(c3ccccc3)c2c1,0,2,0,0.5,0.97,1.75,3,3.91,5.02,6.29,7.71
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,[O-][N+](=O)c1ccc2NC(=[OH+])CN=C(c3ccccc3Cl)c2c1,0,2,0,0.04,0.47,1.01,1.77,2.5,3.15,4.3,5.53
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,[O-][N+](=O)c1ccc2NC(=[OH+])CN=C(c3ccccc3Cl)c2c1,1,0,0,-0.85,-2,-4.2,-6.8,-8.2,-9.7,-11.1,-12.2
[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2,[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)[nH+]c2,0,2,0,0.46,0.83,1.06,1.48,1.98,2.83,3.54,4.78
[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2,[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)[nH+]c2,1,0,0,-1.87,-3.39,-5.32,-7.25,-7.95,-8.68,-9.49,-10.43
C/C=C/C(=O)Nc1ccccc1,C/C=C/C(=[OH+])Nc1ccccc1,0,2,0,0.7,1,2.2,4,5.8,8,10.15,11.8
C/C=C/C(=O)Nc1ccccc1,C/C=C/C(=[OH+])Nc1ccccc1,1,0,0,-4,-9.1,-16.9,-27.3,-33.28,-39.3,-44.84,-49.4
C[C@@H](O)[C@H](N)C(O)=O,C[C@@H](O)[C@H](N)C(O)=[OH+],0,0,0,-0.93,-2.39,-4.23,-6.08,-6.89,-7.48,-7.78,-7.73
C[C@@H](O)[C@H](N)C(O)=O,C[C@@H](O)[C@H](N)C(O)=[OH+],1,0,0,-5.9,-10.9,-21.4,-35,-42.2,-49.53,-55.95,-60.47
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=[OH+])CO,0,2,0,0.42,0.93,1.79,3,3.69,4.78,5.82,7.08
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=[OH+])CO,1,0,0,0.2,-0.3,-1.1,-1.7,-2.2,-2.4,-2.9,-3.7
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=[OH+])CC[C@]34C)[C@@H]1CC[C@@H]2O,0,2,0,0.31,0.77,1.6,2.86,3.55,4.58,5.7,6.92
